Subject,Adjacency_Mean,Functional_Mean,Overall_Diff,Better_Model,M1_adjacency,M1_functional,M1_diff,SMA_adjacency,SMA_functional,SMA_diff,PMC_adjacency,PMC_functional,PMC_diff,PPC_adjacency,PPC_functional,PPC_diff
sub-01,0.2771626182322625,0.22675026054195282,0.05041235769030969,Adjacency,0.6050034154815458,0.3382580357261132,0.2667453797554326,-0.0387870928889032,0.0992365846136546,-0.1380236775025578,0.4853820147832256,0.2849050332456537,0.20047698153757193,0.057052135553182,0.1846013885823898,-0.1275492530292078
sub-02,0.4243592177812873,0.26569795235268817,0.15866126542859915,Adjacency,0.659192495147993,0.3019779940394007,0.3572145011085924,0.231134292753917,0.304112114138619,-0.07297782138470199,0.5658192564477669,0.2635638322534698,0.3022554241942971,0.2412908267754724,0.1931378689792633,0.048152957796209095
sub-03,0.5120638148079601,0.3473280461477912,0.16473576866016892,Adjacency,0.6785651433742933,0.3361239156268947,0.3424412277473986,0.494932500478392,0.2486249915589412,0.2463075089194508,0.3538904261749394,0.3660015970159521,-0.012111170841012708,0.5208671892042158,0.438561680389377,0.08230550881483883
sub-04,0.4652622552580146,0.2486249915589412,0.21663726369907343,Adjacency,0.6877394611427353,0.1974061091777001,0.49033335196503525,0.2840694793312833,0.2785026729479985,0.0055668063832847725,0.5553492491539411,0.2422226312612861,0.31312661789265506,0.3338908314040987,0.2763685528487801,0.05752227855531861
sub-05,0.43306855019586193,0.2977097538409639,0.13535879635489806,Adjacency,0.513093052051914,0.3638674769167336,0.14922557513518042,0.3838166745676708,0.2038084694753552,0.18000820509231563,0.4723833230930867,0.3681357171151704,0.10424760597791632,0.3629811510707761,0.2550273518565963,0.1079537992141798
sub-06,0.4469240688302062,0.2886397434192858,0.1582843254109204,Adjacency,0.5293727639918148,0.3169168347339293,0.21245592925788548,0.4679111044086981,0.3190509548331477,0.14886014957555038,0.4610355906369044,0.2977097538409639,0.16332583679594054,0.3293768162834073,0.2208814302691022,0.10849538601430511
sub-07,0.4028027057581712,0.17766549825993005,0.22513720749824112,Adjacency,0.6066961711518051,0.3169168347339293,0.2897793364178758,0.1347308124217452,0.1397848664988038,-0.005054054077058612,0.4946608236424245,0.11844366550662,0.3762171581358045,0.3751230158167098,0.1355166263003671,0.23960638951634272
sub-08,0.41606262517520193,0.21501259999625172,0.2010500251789502,Adjacency,0.7249173912339848,0.3275874352300212,0.3973299560039636,0.1698607171341625,0.0010670600496091,0.1687936570845534,0.4668661935011307,0.3467945161229867,0.120071677378144,0.3026061988315296,0.1846013885823898,0.11800481024913981
sub-09,0.6267323378044106,0.33132214540365335,0.2954101924007573,Adjacency,0.6543441085368802,0.3126485945354926,0.3416955140013876,0.7643314306674285,0.3062462342378375,0.458085196429591,0.5509188269058553,0.2443567513605044,0.30656207554535087,0.5373349851074786,0.4620370014807791,0.07529798362669948
sub-10,0.47729440435865367,0.3035785841138145,0.17371582024483917,Adjacency,0.5746174062894848,0.2827709131464352,0.29184649314304956,0.4250697571984332,0.3467945161229867,0.07827524107544653,0.6192977966970683,0.331855675428458,0.2874421212686103,0.2901926572496284,0.252893231757378,0.037299425492250404
sub-11,0.6009125892784193,0.3617333568175153,0.239179232460904,Adjacency,0.6660053142653327,0.3339897955276764,0.33201551873765633,0.3775681073404175,0.3169168347339293,0.06065127260648823,0.7427853677533881,0.3660015970159521,0.376783770737436,0.6172915677545389,0.4300251999925034,0.18726636776203548
sub-12,0.42985544915509205,0.22621673051714816,0.2036387186379439,Adjacency,0.7246666126161686,0.3425262759245499,0.38214033669161873,0.1478130969844895,0.0864318640183443,0.0613812329661452,0.4627910409616177,0.2955756337417455,0.16721540721987221,0.3841510460580923,0.180333148383953,0.2038178976741393
sub-13,0.38600053836448667,0.22835085061636662,0.15764968774812005,Adjacency,0.6674263930996244,0.4086839990003197,0.25874239409930466,0.0334162508240066,0.0416153419347584,-0.008199091110751802,0.453282351702754,0.2123449498722287,0.24093740183052528,0.3898771578315619,0.2507591116581596,0.1391180461734023
sub-14,0.6126678369885529,0.3110480044610788,0.3016198325274741,Adjacency,0.6444592513512922,0.2336861508644125,0.41077310048687976,0.5485573282547529,0.3190509548331477,0.22950637342160518,0.661052436563463,0.3916110382065726,0.2694413983568904,0.5966023317847036,0.2998438739401823,0.29675845784452126
sub-16,0.3835815696134682,0.17713196823512548,0.2064496013783427,Adjacency,0.5324448020600631,0.1483213468956773,0.38412345516438573,0.1227770316391738,0.0416153419347584,0.0811616897044154,0.5402398374305161,0.3211850749323661,0.21905476249814998,0.3388646073241197,0.1974061091777001,0.14145849814641961
sub-17,0.39167440459257796,0.2838379731960444,0.10783643139653354,Adjacency,0.3951226105875505,0.3169168347339293,0.0782057758536212,0.3726988225111533,0.2763685528487801,0.09633026966237324,0.3983618344010095,0.1846013885823898,0.21376044581861967,0.4005143508705985,0.3574651166190786,0.04304923425151991
sub-18,0.320113681087822,0.35853217666868775,-0.03841849558086574,Functional,0.4752045825435188,0.3553309965198602,0.11987358602365861,0.224008000364307,0.2763685528487801,-0.052360552484473105,0.2451152006971693,0.3681357171151704,-0.1230205164180011,0.336126940746293,0.4342934401909402,-0.09816649944464717
sub-20,0.42392035520010896,0.15632429726774627,0.2675960579323627,Adjacency,0.6264031908685269,0.1547237071933325,0.4716794836751944,0.1868300702730576,0.1141754253081833,0.0726546449648743,0.4928008822269544,0.208076709673792,0.2847241725531624,0.3896472774318971,0.1483213468956773,0.24132593053621978
sub-21,0.5277897239668501,0.1824672684831714,0.3453224554836787,Adjacency,0.7614265783443911,0.252893231757378,0.5085333465870131,0.324862801162716,-0.0416153419347584,0.3664781430974744,0.714739958994278,0.304112114138619,0.410627844855659,0.3101295573660152,0.2144790699714471,0.0956504873945681
sub-22,0.4621222979807745,0.33719097567650397,0.12493132230427051,Adjacency,0.6422231420090979,0.3339897955276764,0.30823334648142153,0.280161512536981,0.4406958004885953,-0.16053428795161429,0.5801136376632895,0.3019779940394007,0.2781356436238888,0.3459908997137296,0.2721003126503434,0.07389058706338619
sub-23,0.34250089728245436,0.24702440148452742,0.09547649579792694,Adjacency,0.6923161709178808,0.3873427980081358,0.30497337290974497,0.0472090748038967,-0.0010670600496091,0.048276134853505806,0.4710667353495518,0.3233191950315845,0.14774754031796727,0.1594116080584881,0.2785026729479985,-0.1190910648895104
sub-24,0.31938746800706264,-0.0437494620339768,0.3631369300410394,Adjacency,0.6410528417926223,0.0949683444152178,0.5460844973774045,-0.0485047643292804,-0.1269801459034935,0.07847538157421309,0.5747636938165441,0.0010670600496091,0.573696633766935,0.1102381007483645,-0.1440531066972406,0.2542912074456051
sub-25,0.34875468906424545,0.1824672684831714,0.16628742058107404,Adjacency,0.5508979286877039,0.1781990282847347,0.37269890040296927,0.1542288499569536,0.0949683444152178,0.0592605055417358,0.4843162056575068,0.252893231757378,0.23142297390012884,0.2055757719548175,0.2038084694753552,0.0017673024794623016
sub-26,0.5153657332758732,0.3371909756765039,0.1781747575993693,Adjacency,0.763871669868099,0.4129522391987564,0.35091943066934256,0.2362543562009974,0.1397848664988038,0.0964694897021936,0.6578550091863067,0.4599028813815608,0.19795212780474586,0.4034818978480899,0.3361239156268947,0.06735798222119521
sub-27,0.362793067107414,0.17179666798707954,0.19099639912033445,Adjacency,0.5295190515188741,0.2208814302691022,0.3086376212497719,0.2811019323537918,0.2230155503683207,0.058086381985471086,0.3791354737017687,0.1675284277886428,0.2116070459131259,0.2614158108552213,0.0757612635222524,0.1856545473329689
sub-29,0.486782195399366,0.2571614719558147,0.22962072344355133,Adjacency,0.6904144330661081,0.3980133985042277,0.2924010345618804,0.3305053200635802,0.0650906630261605,0.2654146570374197,0.5826214238414513,0.2721003126503434,0.3105211111911079,0.3435876046263245,0.2934415136425271,0.05014609098379741
sub-30,0.4399754112948827,0.29450857369213634,0.14546683760274637,Adjacency,0.5738441722178849,0.2721003126503434,0.30174385956754146,0.4666572113196172,0.3062462342378375,0.1604109770817797,0.3874738627441568,0.3169168347339293,0.07055702801022751,0.3319263988978719,0.2827709131464352,0.04915548575143669
sub-31,0.47993280440026154,0.28490503324565364,0.1950277711546079,Adjacency,0.6485135056726539,0.3894769181073543,0.25903658756529957,0.2888342730697908,0.0010670600496091,0.2877672130201817,0.5438134327343968,0.4001475186034461,0.14366591413095064,0.4385700061242045,0.348928636222205,0.0896413699019995
sub-32,0.4850267450746527,0.388409858057745,0.09661688701690768,Adjacency,0.5119645482717412,0.3724039573136072,0.139560590958134,0.6094965323840857,0.3126485945354926,0.29684793784859315,0.4979836403284889,0.4129522391987564,0.08503140112973251,0.320662259314295,0.455634641183124,-0.13497238186882904
sub-33,0.3782368503212607,0.3435933359741591,0.03464351434710161,Adjacency,0.6269674427586134,0.4470981607862505,0.1798692819723629,0.1392030311061339,0.1888696287808265,-0.049666597674692586,0.4985687904367267,0.4876464426713997,0.010922347765326967,0.2482081369835689,0.2507591116581596,-0.002550974674590728
sub-34,0.45407125943796733,0.4380281503645724,0.016043109073394957,Adjacency,0.5732381238914956,0.4513664009846873,0.12187172290680837,0.3834196084227951,0.3724039573136072,0.011015651109187896,0.5023931643584235,0.4449640406870321,0.05742912367139141,0.3572341410791552,0.483378202472963,-0.1261440613938078
sub-35,0.36426639148708406,0.16752842778864274,0.19673796369844132,Adjacency,0.4082675898047488,0.0650906630261605,0.3431769267785883,0.346074492586335,0.101370704712873,0.24470378787346198,0.4814949462070748,0.3169168347339293,0.1645781114731455,0.2212285373501776,0.1867355086816082,0.0344930286685694
sub-36,0.3914915451837536,0.19047021885524032,0.2010213263285133,Adjacency,0.4111933403459376,0.0522859424308502,0.35890739791508736,0.2935363721538443,0.1291142660027119,0.16442210615113242,0.4748284146167945,0.3254533151308029,0.1493750994859916,0.386408053618438,0.2550273518565963,0.1313807017618417
sub-37,0.46906050640702224,0.21928084019468846,0.24977966621233377,Adjacency,0.5990056268721087,0.2721003126503434,0.3269053142217653,0.4455082145504522,0.1888696287808265,0.2566385857696257,0.3628766599800194,0.1141754253081833,0.24870123467183608,0.4688515242255088,0.3019779940394007,0.16687353018610812
sub-38,0.43940071029572064,0.2891732734440904,0.15022743685163026,Adjacency,0.6081172499860968,0.4150863592979747,0.19303089068812213,0.4565842701706671,0.304112114138619,0.1524721560320481,0.5742203401446092,0.3809404377104807,0.19327990243412851,0.1186809808815094,0.056554182629287,0.0621267982522224
sub-39,0.4069510020612138,0.26729854242710194,0.13965245963411188,Adjacency,0.3856557177649895,0.2358202709636309,0.14983544680135863,0.4170239432101639,0.3873427980081358,0.02968114520202808,0.4147878338679696,0.1568578272925508,0.25793000657541876,0.4103365134017323,0.2891732734440904,0.12116323995764189
sub-42,0.12543632989893289,0.1328489761763441,-0.007412646277411228,Functional,0.0731646617478719,0.1141754253081833,-0.0410107635603114,0.0523918329054312,0.0032011801488275,0.049190652756603705,0.1508015421801324,0.1333825062011487,0.0174190359789837,0.225387282762296,0.2806367930472169,-0.055249510284920894
sub-43,0.5151724247579732,0.2998438739401823,0.2153285508177909,Adjacency,0.7310614673704814,0.4001475186034461,0.3309139487670353,0.3246329207630512,0.3297215553292396,-0.005088634566188355,0.5645026687042319,0.2272837905667574,0.33721887813747453,0.4404926421941285,0.2422226312612861,0.19827001093284238
sub-44,0.4476084854746628,0.20647611959937817,0.24113236587528464,Adjacency,0.6529648261388912,0.3531968764206418,0.2997679497182494,0.3208294450595057,0.2144790699714471,0.10635037508805861,0.5999669449070708,0.2443567513605044,0.3556101935465664,0.2166727257931836,0.0138717806449194,0.20280094514826422
sub-45,0.45796877712319395,0.3702698372143888,0.08769893990880517,Adjacency,0.6688474719339162,0.3681357171151704,0.30071175481874585,0.4012457885058957,0.393745158305791,0.007500630200104719,0.3607868381648845,0.3019779940394007,0.05880884412548382,0.4009950098880794,0.4172204793971931,-0.016225469509113688
sub-46,0.31704164301957377,0.2742344327495617,0.04280721027001205,Adjacency,0.4482667793464303,0.4150863592979747,0.03318042004845556,0.1921591159016516,0.0757612635222524,0.1163978523793992,0.4427078533181715,0.438561680389377,0.004146172928794489,0.1850328235120417,0.1675284277886428,0.017504395723398902
sub-47,0.27311881301997654,0.15952547741657386,0.11359333560340268,Adjacency,0.3820821224611088,0.2400885111620677,0.1419936112990411,-0.0164051012488087,-0.0821636238199076,0.0657585225710989,0.4901886049580358,0.3403921558253315,0.1497964491327043,0.2366096259095703,0.1397848664988038,0.09682475941076649
