ROI,Adjacency_Mean,Adjacency_SE,Functional_Mean,Functional_SE,Model_Difference,Better_Model,t_statistic,p_value,Significant_Difference,Hierarchical_Position
M1,0.5894603657314802,0.018319943991369252,0.2966045845038687,0.01454238989257186,0.2928557812276115,Adjacency,17.631786507827105,2.7038561211083328e-24,True,1
SMA,0.33214247154625814,0.02669712834940269,0.2040752344877575,0.020051340388711994,0.12806723705850065,Adjacency,6.235136063955707,6.693041815926342e-08,True,2
PMC,0.4977742849645085,0.01610946623464174,0.29012600563124147,0.015152205825841605,0.20764827933326702,Adjacency,6.542673249643963,2.112312444516447e-08,True,3
PPC,0.34303492139271474,0.015705525392047212,0.2576950019806193,0.016915838143263424,0.08533991941209546,Adjacency,12.201892332871711,2.7995570631089484e-17,True,4
