subject,ROI,adjacency_rho,functional_rho
sub-39,SMA,0.40514608640943217,0.37240395731360726
sub-39,PMC,0.4602195556532938,0.624230129021376
sub-39,PPC,0.40053052451982524,0.29557563374174556
sub-42,M1,0.06048265715973584,-0.16966254788786117
sub-42,SMA,0.06564122633047298,-0.31051447443627417
sub-42,PMC,0.14299887899610195,-0.21447906997144717
sub-42,PPC,0.17760515072043978,-0.033078861537884884
sub-43,M1,0.7346888513691945,0.6284983692198127
sub-43,SMA,0.305295401367755,0.41722047939719314
sub-43,PMC,0.5707841920495789,0.6178277687237208
sub-43,PPC,0.4152543757966256,0.5580724059456061
sub-44,M1,0.6626986168285834,0.6220960089221576
sub-44,SMA,0.29618958696110964,0.4278910798932851
sub-44,PMC,0.6447584916558581,0.6156936486245025
sub-44,PPC,0.2366467500956377,0.5324629647549858
sub-45,M1,0.7011894791025451,0.6092912883268474
sub-45,SMA,0.4240260318764215,0.38734279800813587
sub-45,PMC,0.3999666323432669,0.5794136069377901
sub-45,PPC,0.36201877735043547,0.45350052108390565
sub-46,M1,0.45021569074324086,0.607157168227629
sub-46,SMA,0.2331380876637193,0.09283422431599951
sub-46,PMC,0.4404624445783248,0.41722047939719314
sub-46,PPC,0.1832231875905948,0.15258958709411416
sub-47,M1,0.3754477651106945,0.5986206878307554
sub-47,SMA,0.029698321298737694,-0.0010670600496091897
sub-47,PMC,0.4790368464339989,0.545267685350296
sub-47,PPC,0.19253785095152096,0.2785026729479985
sub-48,M1,0.5140817009623266,0.6220960089221576
sub-48,SMA,0.06303061440196228,0.2422226312612861
sub-48,PMC,0.44733357517416505,0.6114254084260657
sub-48,PPC,0.2526863497844074,0.41722047939719314
sub-49,M1,0.823407887147702,0.607157168227629
sub-49,SMA,0.2505352055553146,0.4193545994964116
sub-49,PMC,0.6504600681077254,0.6114254084260657
sub-49,PPC,0.2765160154678531,0.3809404377104807
sub-50,M1,0.6810564399098707,0.6028889280291923
sub-50,SMA,0.5313952792722095,0.5260606044573306
sub-50,PMC,0.5476646128106882,0.624230129021376
sub-50,PPC,0.284535815312238,0.23368615086441255
sub-51,M1,0.6592734939783774,0.607157168227629
sub-51,SMA,0.5605088234989608,0.4705734818776527
sub-51,PMC,0.5520504408505861,0.5794136069377901
sub-51,PPC,0.40723457595224066,0.5559382858463878
sub-52,M1,0.11002162911515484,-0.09283422431599951
sub-52,SMA,0.048599151661155145,-0.16112606749098765
sub-52,PMC,0.08953354670020289,-0.15685782729255088
sub-52,PPC,0.16511598325444457,-0.018140020843356225
sub-53,M1,0.7722190084534644,0.6092912883268474
sub-53,SMA,0.529077055879692,0.562340646144043
sub-53,PMC,0.7221996839031993,0.5943524476323186
sub-53,PPC,0.4278270828443331,0.4342934401909402
sub-54,M1,0.6639099407634125,0.6284983692198127
sub-54,SMA,0.6428788510673302,0.39801339850422773
sub-54,PMC,0.580077970515077,0.6156936486245025
sub-54,PPC,0.5814563736133306,0.29770975384096393
sub-55,M1,0.6294498633070713,0.6092912883268474
sub-55,SMA,0.5618454568063582,0.44923228088546896
sub-55,PMC,0.4488372876449872,0.6028889280291923
