,anatomical_similarity,functional_similarity,functional_dominance
M1,0.5039944048236784,0.343213335827699,-0.16078106899597944
SMA,0.4711421379703363,0.37955885130214884,-0.09158328666818749
PMC,0.457084924384086,0.36697216183000325,-0.09011276255408274
PPC,0.33973716586006897,0.3657247954761096,0.02598762961604062
