Grouping,Adjacency Quality,Functional Quality,Average Quality
Existing,-0.2270420678828229,-0.04653942516028786,-0.13679074652155537
Adjacency Suggested,0.37842993080786913,0.16824695905487042,0.2733384449313698
Functional Suggested,0.37842993080786913,0.16824695905487042,0.2733384449313698
Combined Suggested,0.37842993080786913,0.16824695905487042,0.2733384449313698
