ROI,M1,PMC,PPC,SMA
M1,1.0,0.5603167422939738,0.3645300879753456,0.06442013737461567
PMC,0.5603167422939738,1.0,0.5147805101329763,-0.0035264455549322963
PPC,0.3645300879753456,0.5147805101329763,1.0,0.2692129666722339
SMA,0.06442013737461567,-0.0035264455549322963,0.2692129666722339,1.0
