ROI,mean,std,min,max,pct_functional
M1,0.29400802519202635,0.1200847578399124,-0.0410107635603114,0.5460844973774045,1.6129032258064515
PMC,0.21372847413561114,0.12429317417783235,-0.1230205164180011,0.573696633766935,3.225806451612903
PPC,0.09180117605420275,0.10620097987029938,-0.13497238186882904,0.37078141648854057,16.129032258064516
SMA,0.129977685601426,0.1479435985932154,-0.16053428795161429,0.6763205744847338,17.741935483870968
