,anatomical_similarity,functional_similarity,functional_dominance
M1,0.49215411895937633,0.23352538559338865,-0.2586287333659877
SMA,0.4714724498793963,0.29312394950244736,-0.17834850037694894
PMC,0.447588026168811,0.267867008687928,-0.17972101748088298
PPC,0.35263179984334647,0.32692464640591545,-0.02570715343743102
