,anatomical_similarity,functional_similarity,functional_dominance
M1,0.49215411895937633,0.32072506744738716,-0.17142905151198917
SMA,0.4714724498793963,0.3529167643182243,-0.11855568556117202
PMC,0.447588026168811,0.31117110853507457,-0.13641691763373642
PPC,0.35263179984334647,0.27906816466751627,-0.0735636351758302
