,anatomical_similarity,functional_similarity,functional_dominance
M1,0.49215411895937633,0.293964787192569,-0.1981893317668073
SMA,0.4714724498793963,0.4018665963369279,-0.0696058535424684
PMC,0.447588026168811,0.38095973666686134,-0.06662828950194966
PPC,0.35263179984334647,0.488333447503253,0.13570164765990655
