subject,ROI,adjacency_rho,functional_rho
sub-01,M1,0.6050034154815458,0.3382580357261132
sub-01,SMA,-0.038787092888903245,0.09923658461365464
sub-01,PMC,0.4853820147832256,0.2849050332456537
sub-01,PPC,0.05705213555318203,0.18460138858238984
sub-02,M1,0.659192495147993,0.30197799403940073
sub-02,SMA,0.231134292753917,0.30411211413861905
sub-02,PMC,0.5658192564477669,0.26356383225346985
sub-02,PPC,0.24129082677547245,0.19313786897926336
sub-03,M1,0.6785651433742933,0.33612391562689475
sub-03,SMA,0.49493250047839205,0.24862499155894122
sub-03,PMC,0.3538904261749394,0.3660015970159521
sub-03,PPC,0.5208671892042158,0.438561680389377
sub-04,M1,0.6877394611427353,0.1974061091777001
sub-04,SMA,0.28406947933128335,0.2785026729479985
sub-04,PMC,0.5553492491539411,0.2422226312612861
sub-04,PPC,0.3338908314040987,0.27636855284878015
sub-05,M1,0.513093052051914,0.36386747691673366
sub-05,SMA,0.3838166745676708,0.20380846947535525
sub-05,PMC,0.4723833230930867,0.36813571711517046
sub-05,PPC,0.3629811510707761,0.25502735185659636
sub-06,M1,0.5293727639918148,0.31691683473392934
sub-06,SMA,0.4679111044086981,0.31905095483314777
sub-06,PMC,0.4610355906369044,0.29770975384096393
sub-06,PPC,0.32937681628340737,0.22088143026910229
sub-07,M1,0.6066961711518051,0.31691683473392934
sub-07,SMA,0.13473081242174528,0.13978486649880384
sub-07,PMC,0.49466082364242453,0.11844366550662007
sub-07,PPC,0.3751230158167098,0.13551662630036712
sub-08,M1,0.7249173912339848,0.3275874352300212
sub-08,SMA,0.1698607171341625,0.0010670600496091897
sub-08,PMC,0.4668661935011307,0.3467945161229867
sub-08,PPC,0.30260619883152967,0.18460138858238984
sub-09,M1,0.6543441085368802,0.3126485945354926
sub-09,SMA,0.7643314306674285,0.3062462342378375
sub-09,PMC,0.5509188269058553,0.24435675136050447
sub-09,PPC,0.5373349851074786,0.46203700148077914
sub-10,M1,0.5746174062894848,0.28277091314643527
sub-10,SMA,0.4250697571984332,0.3467945161229867
sub-10,PMC,0.6192977966970683,0.331855675428458
sub-10,PPC,0.29019265724962845,0.252893231757378
sub-11,M1,0.6660053142653327,0.3339897955276764
sub-11,SMA,0.3775681073404175,0.31691683473392934
sub-11,PMC,0.7427853677533881,0.3660015970159521
sub-11,PPC,0.6172915677545389,0.43002519999250344
sub-12,M1,0.7246666126161686,0.34252627592454993
sub-12,SMA,0.14781309698448958,0.08643186401834436
sub-12,PMC,0.4627910409616177,0.29557563374174556
sub-12,PPC,0.38415104605809236,0.18033314838395306
sub-13,M1,0.6674263930996244,0.4086839990003197
sub-13,SMA,0.03341625082400662,0.0416153419347584
sub-13,PMC,0.453282351702754,0.21234494987222877
sub-13,PPC,0.3898771578315619,0.2507591116581596
sub-14,M1,0.6444592513512922,0.23368615086441255
sub-14,SMA,0.5485573282547529,0.31905095483314777
sub-14,PMC,0.661052436563463,0.3916110382065726
sub-14,PPC,0.5966023317847036,0.2998438739401823
sub-16,M1,0.5324448020600631,0.14832134689567736
sub-16,SMA,0.1227770316391738,0.0416153419347584
sub-16,PMC,0.5402398374305161,0.32118507493236614
sub-16,PPC,0.3388646073241197,0.1974061091777001
sub-17,M1,0.3951226105875505,0.31691683473392934
sub-17,SMA,0.3726988225111533,0.27636855284878015
sub-17,PMC,0.39836183440100953,0.18460138858238984
sub-17,PPC,0.4005143508705985,0.3574651166190786
sub-18,M1,0.4752045825435188,0.3553309965198602
sub-18,SMA,0.22400800036430704,0.27636855284878015
sub-18,PMC,0.2451152006971693,0.36813571711517046
sub-18,PPC,0.336126940746293,0.4342934401909402
sub-20,M1,0.6264031908685269,0.1547237071933325
sub-20,SMA,0.18683007027305765,0.11417542530818331
sub-20,PMC,0.4928008822269544,0.208076709673792
sub-20,PPC,0.38964727743189714,0.14832134689567736
sub-21,M1,0.7614265783443911,0.252893231757378
sub-21,SMA,0.324862801162716,-0.0416153419347584
sub-21,PMC,0.714739958994278,0.30411211413861905
sub-21,PPC,0.3101295573660152,0.21447906997144717
sub-22,M1,0.6422231420090979,0.3339897955276764
sub-22,SMA,0.28016151253698107,0.4406958004885953
sub-22,PMC,0.5801136376632895,0.30197799403940073
sub-22,PPC,0.3459908997137296,0.2721003126503434
sub-23,M1,0.6923161709178808,0.38734279800813587
sub-23,SMA,0.047209074803896786,-0.0010670600496091897
sub-23,PMC,0.4710667353495518,0.3233191950315845
sub-23,PPC,0.1594116080584881,0.2785026729479985
sub-24,M1,0.6410528417926223,0.09496834441521788
sub-24,SMA,-0.048504764329280414,-0.12698014590349357
sub-24,PMC,0.5747636938165441,0.0010670600496091897
sub-24,PPC,0.11023810074836457,-0.14405310669724064
sub-25,M1,0.5508979286877039,0.1781990282847347
sub-25,SMA,0.15422884995695366,0.09496834441521788
sub-25,PMC,0.4843162056575068,0.252893231757378
sub-25,PPC,0.2055757719548175,0.20380846947535525
sub-26,M1,0.763871669868099,0.41295223919875645
sub-26,SMA,0.23625435620099744,0.13978486649880384
sub-26,PMC,0.6578550091863067,0.4599028813815608
sub-26,PPC,0.40348189784808997,0.33612391562689475
sub-27,M1,0.5295190515188741,0.22088143026910229
sub-27,SMA,0.28110193235379183,0.2230155503683207
sub-27,PMC,0.3791354737017687,0.1675284277886428
sub-27,PPC,0.2614158108552213,0.07576126352225247
sub-29,M1,0.6904144330661081,0.39801339850422773
sub-29,SMA,0.3305053200635802,0.06509066302616057
sub-29,PMC,0.5826214238414513,0.2721003126503434
sub-29,PPC,0.3435876046263245,0.29344151364252713
sub-30,M1,0.5738441722178849,0.2721003126503434
sub-30,SMA,0.4666572113196172,0.3062462342378375
sub-30,PMC,0.3874738627441568,0.31691683473392934
sub-30,PPC,0.33192639889787195,0.28277091314643527
sub-31,M1,0.6485135056726539,0.3894769181073543
sub-31,SMA,0.2888342730697908,0.0010670600496091897
sub-31,PMC,0.5438134327343968,0.40014751860344616
sub-31,PPC,0.4385700061242045,0.34892863622220505
sub-32,M1,0.5119645482717412,0.37240395731360726
sub-32,SMA,0.6094965323840857,0.3126485945354926
sub-32,PMC,0.4979836403284889,0.41295223919875645
sub-32,PPC,0.320662259314295,0.455634641183124
sub-33,M1,0.6269674427586134,0.4470981607862505
sub-33,SMA,0.1392030311061339,0.18886962878082658
sub-33,PMC,0.49856879043672675,0.4876464426713997
sub-33,PPC,0.2482081369835689,0.2507591116581596
sub-34,M1,0.5732381238914956,0.4513664009846873
sub-34,SMA,0.38341960842279516,0.37240395731360726
sub-34,PMC,0.5023931643584235,0.4449640406870321
sub-34,PPC,0.3572341410791552,0.483378202472963
sub-35,M1,0.40826758980474886,0.06509066302616057
sub-35,SMA,0.346074492586335,0.10137070471287303
sub-35,PMC,0.4814949462070748,0.31691683473392934
sub-35,PPC,0.22122853735017764,0.1867355086816082
sub-36,M1,0.4111933403459376,0.052285942430850295
sub-36,SMA,0.2935363721538443,0.12911426600271195
sub-36,PMC,0.47482841461679454,0.3254533151308029
sub-36,PPC,0.38640805361843805,0.25502735185659636
sub-37,M1,0.5990056268721087,0.2721003126503434
sub-37,SMA,0.44550821455045225,0.18886962878082658
sub-37,PMC,0.3628766599800194,0.11417542530818331
sub-37,PPC,0.46885152422550885,0.30197799403940073
sub-38,M1,0.6081172499860968,0.41508635929797477
sub-38,SMA,0.45658427017066716,0.30411211413861905
sub-38,PMC,0.5742203401446092,0.3809404377104807
sub-38,PPC,0.11868098088150945,0.056554182629287054
sub-39,M1,0.3856557177649895,0.23582027096363095
sub-39,SMA,0.4170239432101639,0.38734279800813587
sub-39,PMC,0.41478783386796964,0.15685782729255088
sub-39,PPC,0.41033651340173233,0.28917327344409044
sub-42,M1,0.07316466174787191,0.11417542530818331
sub-42,SMA,0.05239183290543128,0.0032011801488275693
sub-42,PMC,0.15080154218013245,0.13338250620114872
sub-42,PPC,0.22538728276229608,0.2806367930472169
sub-43,M1,0.7310614673704814,0.40014751860344616
