subject,ROI,adjacency_rho,functional_rho
sub-13,PPC,0.368012742338296,0.5434764223794912
sub-14,M1,0.6819962602041346,0.5782403726383073
sub-14,SMA,0.5752535596711892,0.3603862843497266
sub-14,PMC,0.6917286214736225,0.5550644057990967
sub-14,PPC,0.5665027884868212,0.5156652621724385
sub-16,M1,0.5776344377499909,0.5944635494257547
sub-16,SMA,0.12858830115072292,0.32793993077483163
sub-16,PMC,0.5572925496030355,0.5944635494257547
sub-16,PPC,0.3363303559738901,0.5063948754367542
sub-17,M1,0.42087241266678055,0.5759227759543863
sub-17,SMA,0.34111299702692177,0.2700000136768048
sub-17,PMC,0.43035415519113146,0.5504292124312545
sub-17,PPC,0.36109984195159966,0.4021030246603059
sub-18,M1,0.49060707850115837,0.568969985902623
sub-18,SMA,0.19086705931727407,0.274635207044647
sub-18,PMC,0.2483422915353656,0.4762661185457802
sub-18,PPC,0.3044600055506316,0.5017596820689121
sub-20,M1,0.6733707983923352,0.5481116157473334
sub-20,SMA,0.21254558077162694,0.17729614631996196
sub-20,PMC,0.538621453090327,0.5411588256955703
sub-20,PPC,0.37369343389473525,0.2700000136768048
sub-21,M1,0.8000794589545305,0.5782403726383073
sub-21,SMA,0.38403145713163767,0.40442062134422696
sub-21,PMC,0.72382870574659,0.5596995991669388
sub-21,PPC,0.3020164727855456,0.4971244887010699
sub-22,M1,0.6860896997080395,0.5828755660061495
sub-22,SMA,0.28273971430542255,0.3209871407230684
sub-22,PMC,0.6012343695837277,0.5712875825865441
sub-22,PPC,0.30928441639451937,0.39978542797638483
sub-23,M1,0.7120287398297216,0.5759227759543863
sub-23,SMA,0.06244583732997587,0.22828327336622553
sub-23,PMC,0.5067928724579247,0.5434764223794912
sub-23,PPC,0.1543811470044086,0.371974267769332
sub-24,M1,0.689640131930814,0.5620171958508599
sub-24,SMA,-0.004552907203322657,0.1888841297395673
sub-24,PMC,0.6335641877064041,0.5504292124312545
sub-24,PPC,0.12226017783601296,0.29549357719993663
sub-25,M1,0.5719746310889797,0.5712875825865441
sub-25,SMA,0.11670479565214223,0.16339056621643555
sub-25,PMC,0.5184257592113684,0.46236053844225383
sub-25,PPC,0.20281321950213907,0.4832189085975434
sub-26,M1,0.7809697796378322,0.5898283560579128
sub-26,SMA,0.23238623142830822,0.25145924020543625
sub-26,PMC,0.6682539990124543,0.5318884389598859
sub-26,PPC,0.3827365936150964,0.40442062134422696
sub-27,M1,0.573018875860384,0.5875107593739917
sub-27,SMA,0.3178054537291783,0.34416310756227914
sub-27,PMC,0.427806197948905,0.48785410196538553
sub-27,PPC,0.2581373074911378,0.2815879970964102
sub-29,M1,0.699915500481432,0.5736051792704652
sub-29,SMA,0.34397422770056946,0.30476396393562094
sub-29,PMC,0.6179005161353399,0.568969985902623
sub-29,PPC,0.3320698373065607,0.4739485218618591
sub-30,M1,0.6133267240365892,0.5573820024830177
sub-30,SMA,0.43123132079911103,0.3464807042462002
sub-30,PMC,0.4149411023652043,0.536523632327728
sub-30,PPC,0.3052745164723269,0.41832620144775334
sub-31,M1,0.6546997018796268,0.5759227759543863
sub-31,SMA,0.30535805605403926,0.24450645015367303
sub-31,PMC,0.5449704613004651,0.566652389218702
sub-31,PPC,0.4122051810641251,0.4832189085975434
sub-32,M1,0.5119514416286618,0.566652389218702
sub-32,SMA,0.648914585846047,0.5249356489081227
sub-32,PMC,0.509069326059586,0.504077278752833
sub-32,PPC,0.31534103606866415,0.504077278752833
sub-33,M1,0.6294916330979274,0.5875107593739917
sub-33,SMA,0.13961552593675208,0.20047211315917268
sub-33,PMC,0.4893748696709012,0.5596995991669388
sub-33,PPC,0.22601633832274212,0.4785837152297012
sub-34,M1,0.5809133663322004,0.568969985902623
sub-34,SMA,0.4156720737051873,0.33952791419443695
sub-34,PMC,0.5284087392259932,0.5179828588563594
sub-34,PPC,0.33979724861495236,0.47163092517793803
sub-35,M1,0.46477246285661644,0.5643347925347809
sub-35,SMA,0.39136205542689567,0.4507725550226484
sub-35,PMC,0.5096749880270005,0.5573820024830177
sub-35,PPC,0.20742878139174598,0.3487983009301213
sub-36,M1,0.4648351175429008,0.5828755660061495
sub-36,SMA,0.2815701601614498,0.371974267769332
sub-36,PMC,0.48762053845494213,0.568969985902623
sub-36,PPC,0.3831751764190861,0.5643347925347809
sub-37,M1,0.6383468287594357,0.5782403726383073
sub-37,SMA,0.4771572058454712,0.5272532455920438
sub-37,PMC,0.4158182679731839,0.5759227759543863
sub-37,PPC,0.4858453223435548,0.5805579693222285
sub-38,M1,0.6145589328668463,0.566652389218702
sub-38,SMA,0.4431148262976918,0.5388412290116491
sub-38,PMC,0.5678394217942188,0.5596995991669388
sub-38,PPC,0.12280318511714322,0.39978542797638483
sub-39,M1,0.3943277105776838,0.5736051792704652
sub-39,SMA,0.40514608640943217,0.36502147771756877
sub-39,PMC,0.4602195556532938,0.5434764223794912
sub-39,PPC,0.40053052451982524,0.42759658818343765
sub-42,M1,0.06048265715973584,-0.07995708559527696
sub-42,SMA,0.06564122633047298,-0.09386266569880339
sub-42,PMC,0.14299887899610195,-0.07532189222743482
sub-42,PPC,0.17760515072043978,0.008111588393723751
sub-43,M1,0.7346888513691945,0.5550644057990967
sub-43,SMA,0.305295401367755,0.1494849861129091
sub-43,PMC,0.5707841920495789,0.4994420853849909
sub-43,PPC,0.4152543757966256,0.4762661185457802
sub-44,M1,0.6626986168285834,0.536523632327728
sub-44,SMA,0.29618958696110964,0.25841203025719944
sub-44,PMC,0.6447584916558581,0.5318884389598859
sub-44,PPC,0.2366467500956377,0.4438197649708852
sub-45,M1,0.7011894791025451,0.5643347925347809
sub-45,SMA,0.4240260318764215,0.3905150412407006
sub-45,PMC,0.3999666323432669,0.4507725550226484
sub-45,PPC,0.36201877735043547,0.4669957318100959
sub-46,M1,0.45021569074324086,0.5643347925347809
sub-46,SMA,0.2331380876637193,0.33257512414267376
sub-46,PMC,0.4404624445783248,0.5272532455920438
sub-46,PPC,0.1832231875905948,0.3696566710854109
sub-47,M1,0.3754477651106945,0.5457940190634123
sub-47,SMA,0.029698321298737694,0.14716738942898805
sub-47,PMC,0.4790368464339989,0.5110300688045962
sub-47,PPC,0.19253785095152096,0.29549357719993663
sub-48,M1,0.5140817009623266,0.5851931626900706
sub-48,SMA,0.06303061440196228,0.3209871407230684
sub-48,PMC,0.44733357517416505,0.5550644057990967
